date,processed_log_return_wtmra_0,processed_log_return_wtmra_0_ROC_1_days,processed_log_return_wtmra_0_derivative_1_days,processed_log_return_wtmra_0_ROC_3_days,processed_log_return_wtmra_0_derivative_3_days,processed_log_return_wtmra_0_ROC_7_days,processed_log_return_wtmra_0_derivative_7_days,processed_log_return_wtmra_0_ROC_14_days,processed_log_return_wtmra_0_derivative_14_days,processed_log_return_wtmra_0_ROC_21_days,processed_log_return_wtmra_0_derivative_21_days,processed_log_return_wtmra_0_ROC_30_days,processed_log_return_wtmra_0_derivative_30_days
2019-01-30 00:00:00,0.0849327987791926,-1.9590631137876562,0.1734908900645148,-2.6778646098965484,0.1355523769491078,-1.6074236513381952,0.2247574476747039,-0.11012082301418069,-0.010510269196479391,-1.7500676963657897,0.1981663098218718,-0.49494823869231985,-0.0832337245080138
2019-01-30 01:00:00,-0.1177125810687323,0.6241508394363025,-0.0452361963570838,-46.84496612616213,-0.12028020388570189,-4.110865747760573,-0.155551752094827,0.05862777428267929,-0.0065190303908334996,-0.42125231337508284,0.0856793007290106,0.20293943536754266,-0.01985846006490409
2019-01-30 02:00:00,0.0313399912082354,-1.5405468385354837,0.0893182994213508,-2.7454190656609176,0.049295559486829996,-1.561380202490382,0.0871666681541014,-0.60657426128474,-0.0483192382834008,-0.9228057115139997,-0.37464848051553873,-0.6407019381492054,-0.055885614871571204
2019-01-30 03:00:00,0.0770022708246345,-0.42931293184924746,-0.05792679121658491,0.0432961220809005,0.0031955450112095968,-0.3587312164949077,-0.0430757258053434,-1.4413320580678926,0.251479219455429,-1.4312931404491847,0.2555404009336316,-1.2119889126132484,0.4402395263744902
2019-01-30 04:00:00,-0.0500826120826683,-0.48799838003417895,0.0477346801477969,1.356837165481239,-0.028832687473455,-0.4207173403849913,0.0363736476575304,-1.2573650147641593,-0.24468020386709288,-0.46320732338846393,0.0432171184554066,-1.1413724239621352,-0.4043427335338097
2019-01-30 05:00:00,-0.0188029823740055,-1.1338605913847128,-0.159269882897148,-0.7370560307891048,0.0527064819062895,0.9787161546985457,-0.0093003650686598,-0.8942841594760665,0.1590604511551317,-1.1539511588135614,-0.1409390060253531,-4.204633632133907,-0.0246704182597997
2019-01-30 06:00:00,0.0786327578071955,-1.3616974058669227,0.2960320438726489,0.4760581259561647,0.0253606295458111,3.749203553833932,0.0620757168389858,-0.6413845352952481,-0.1406348576369233,-2.616996415459772,0.1272616583139646,-1.3728917852420195,0.2895056193698608
2019-01-30 07:00:00,-0.1380136877966351,-1.7295794767261654,-0.3271825065467766,4.313130277045511,-0.11203772248050119,-3.397427923804752,-0.1955810859345551,0.44217703629337435,-0.04231552846984929,2.076405302736211,-0.09315169003779519,-1.6147803695269554,-0.3625063597126726
2019-01-30 08:00:00,0.1056334785228372,-1.7043123022587214,0.2556144999874231,1.8104401903455871,0.0680473811969774,-2.1812055116011004,0.1950620135960042,-1.341445379539144,0.4150050057211637,-0.06114223839844579,-0.006879282028496914,-1.846713077426884,0.2303905908658421
2019-01-30 09:00:00,0.0219662255895586,-0.737877217040295,-0.061835057692770104,-0.3073507667399489,-0.009747121563330702,-0.7238619750587799,-0.05758176710081579,-0.9605418158670679,-0.534730086525458,-1.1957568519826238,0.1341780095812036,-1.3374189821292293,0.0870669660723382
2019-01-30 10:00:00,-0.0915693745406378,-3.075531474981298,-0.13568789340890158,0.6487335629123132,-0.036030155469431294,-0.12751561867694905,0.01338307675915551,-0.7160409651158544,0.2309045153216721,-2.7158148134317543,-0.1449372402472477,-1.654002209125597,-0.2315832357523091
2019-01-30 11:00:00,0.154338250042334,3.020547442062834,0.11595087810694721,-2.64658396107553,0.24807064006362511,0.6436046393951365,0.06043595362442411,2.3294023424746677,0.10798210735769291,-222.0382258301243,0.1550364923914241,20.839954007281804,0.1472714654698539
2019-01-30 12:00:00,-0.3761647698654063,0.8103542072924328,-0.16837959260553811,-2.994555573728075,-0.5647605527155714,-39.14078611218489,-0.3860273030800857,0.4095711673951796,-0.10930008181950873,-66.60020579411302,-0.3818989709294396,1.2665526452681046,-0.2102013757872993
