date,open,high,low,close,volume,original_close,processed_log_return,outliers_processed_log_return,normalized_outliers_processed_log_return,processed_log_return_wtmra_0,processed_log_return_wtmra_1,processed_log_return_wtmra_2,processed_log_return_wtmra_3,processed_log_return_wtmra_4,processed_log_return_wtmra_5,processed_log_return_wtmra_5_4,processed_log_return_wtmra_5_4_3,processed_log_return_wtmra_5_4_3_2,processed_log_return_wtmra_5_4_3_2_1,processed_log_return_wtmra_5_4_3_2_1_0,processed_log_return_wtmra_0_1,processed_log_return_wtmra_0_1_2,processed_log_return_wtmra_0_1_2_3,processed_log_return_wtmra_0_1_2_3_4,processed_log_return_wtmra_0_1_2_3_4_5
2019-01-01,137.81,138.66,128.7,131.45,484604.83962,131.45,-0.04695907688061765,-0.04695907688061765,-0.5425182363457237,-0.3884928829069172,-0.15422768120234517,-0.12249043709407476,0.0773144010657311,0.06496855405539352,-0.0195901902635111,0.045378363791882426,0.12269276485761353,0.00020232776353877602,-0.1540253534388064,-0.5425182363457236,-0.5427205641092624,-0.6652110012033372,-0.5878966001376061,-0.5229280460822127,-0.5425182363457237
2019-01-02,131.45,140.67,130.0,139.1,401776.88797,139.1,0.05656654775350705,0.05656654775350705,0.5488165247651957,0.1797949478880165,0.2485638302354682,0.016402585054962487,0.07039668563857276,0.05797973019914169,-0.02432125425096605,0.03365847594817564,0.10405516158674841,0.1204577466417109,0.3690215768771791,0.5488165247651956,0.4283587781234847,0.4447613631784472,0.51515804881702,0.5731377790161617,0.5488165247651956
2019-01-03,139.1,155.37,137.76,152.01,941486.31524,152.01,0.0887532092265308,0.0887532092265308,0.8881182448346232,0.41209041407066466,0.2693818328956357,0.13070906052594458,0.055441465944283404,0.04968170312477228,-0.02918623172667782,0.020495471398094465,0.07593693734237787,0.20664599786832244,0.47602783076395816,0.8881182448346228,0.6814722469663004,0.8121813074922449,0.8676227734365284,0.9173044765613007,0.8881182448346229
2019-01-04,152.01,153.64,143.11,146.3,708091.31714,146.3,-0.038287000129849355,-0.038287000129849355,-0.4510999151080304,-0.5909365109275082,-0.06841901465944726,0.17186237824218634,0.031188319324177323,0.03943642451458501,-0.03423151160202345,0.00520491291256156,0.03639323223673888,0.2082556104789252,0.13983659581947794,-0.45109991510803027,-0.6593555255869554,-0.4874931473447691,-0.4563048280205918,-0.4168684035060068,-0.45109991510803027
2019-01-05,146.3,154.8,143.54,151.97,805248.93821,151.97,0.03802382491943502,0.03802382491943502,0.3533449391941237,0.30601388220306164,-0.10970861025796688,0.15933932112111387,0.00910037666576876,0.02794540814710278,-0.03934543868495658,-0.011400030537853802,-0.002299653872085042,0.15703966724902885,0.047331056991061965,0.3533449391941236,0.19630527194509476,0.35564459306620866,0.3647449697319774,0.3926903778790802,0.3533449391941236
2019-01-06,152.08,159.26,151.2,152.83,773169.13736,152.83,0.005643059594231245,0.005643059594231245,0.011997037013762313,-0.07752886695824927,0.03977036634626553,0.09432068922225181,-0.014793633491664999,0.014700325676815512,-0.04447184378165627,-0.029771518104840758,-0.04456515159650576,0.049755537625746055,0.08952590397201159,0.011997037013762313,-0.03775850061198374,0.05656218861026807,0.04176855511860307,0.056468880795418584,0.011997037013762313
2019-01-07,152.83,157.4,147.51,153.86,627908.47366,153.86,0.0067169054910437035,0.0067169054910437035,0.02331718465266358,0.09557863642838937,-0.011153708977829174,0.028971122558479924,-0.041273492058357605,0.0007962096055348316,-0.049601582903553716,-0.048805373298018886,-0.09007886535637649,-0.06110774279789657,-0.07226145177572574,0.023317184652663636,0.0844249274505602,0.11339605000904013,0.07212255795068252,0.07291876755621736,0.023317184652663643
2019-01-08,153.89,155.48,147.86,149.34,424765.30258,149.34,-0.02981751242323305,-0.02981751242323305,-0.3618172242216116,-0.15957081638581952,-0.026946869332478966,-0.04415110992770735,-0.06303055093593818,-0.013442232248581364,-0.05467564539108606,-0.06811787763966742,-0.1311484285756056,-0.17529953850331295,-0.20224640783579192,-0.36181722422161144,-0.1865176857182985,-0.23066879564600584,-0.293699346581944,-0.3071415788305254,-0.36181722422161144
2019-01-09,149.29,151.65,145.2,147.6,441661.06778,147.6,-0.0117196734411836,-0.0117196734411836,-0.17103546509771203,0.017672403146899773,0.07909553399683678,-0.09737198380354484,-0.08381330820914608,-0.02705599165175906,-0.059562118576998536,-0.0866181102287576,-0.17043141843790366,-0.2678034022414485,-0.18870786824461172,-0.17103546509771195,0.09676793714373655,-0.0006040466598082883,-0.08441735486895437,-0.11147334652071343,-0.17103546509771198
2019-01-10,147.62,151.5,146.77,148.1,299443.563,148.1,0.0033818091073810784,0.0033818091073810784,-0.011840358496770384,0.3192244250134053,0.0041090837443547605,-0.12981441395549892,-0.10179996596094949,-0.03940607395199096,-0.06415341338609092,-0.10355948733808187,-0.20535945329903138,-0.3351738672545303,-0.33106478351017554,-0.011840358496770231,0.32333350875776007,0.19351909480226115,0.09171912884131166,0.0523130548893207,-0.011840358496770217
2019-01-11,148.11,149.45,121.0,124.95,871751.75038,124.95,-0.16997406399279164,-0.09035647154696086,-1.0,-0.5144829575983517,-0.10195551183861046,-0.15666966121147463,-0.10833305961346681,-0.05021219953712153,-0.0683466102009746,-0.11855880973809613,-0.22689186935156294,-0.38356153056303754,-0.485517042401648,-0.9999999999999998,-0.6164384694369622,-0.7731081306484369,-0.8814411902619037,-0.9316533897990252,-0.9999999999999998
2019-01-12,124.96,127.36,120.08,124.65,545293.98369,124.65,-0.002403847311394443,-0.002403847311394443,-0.07283093921501467,0.3151797129642199,-0.052360268618026166,-0.10676450150061374,-0.09894148023181544,-0.05797662219416336,-0.0719677796346158,-0.12994440182877914,-0.22888588206059457,-0.3356503835612083,-0.38801065217923447,-0.07283093921501455,0.26281944434619375,0.15605494284558002,0.057113462613764585,-0.0008631595803987729,-0.07283093921501457
2019-01-13,124.67,126.19,122.0,123.35,300262.13404,123.35,-0.010483966994201234,-0.010483966994201234,-0.15800903415477618,0.16109237256728676,-0.041763026539171653,-0.05664573125668725,-0.08172533644435107,-0.06391827044250657,-0.07504904203934633,-0.1389673124818529,-0.22069264892620397,-0.2773383801828912,-0.31910140672206283,-0.15800903415477607,0.1193293460281151,0.06268361477142784,-0.01904172167292323,-0.0829599921154298,-0.15800903415477613
2019-01-14,123.35,124.25,111.87,114.16,422561.96777,114.16,-0.07742486980678473,-0.07742486980678473,-0.8636790983317114,-0.6944503123444005,0.021833417178248608,0.011545159732716774,-0.0564014566207275,-0.06862289999189312,-0.07758300628565556,-0.1462059062775487,-0.2026073628982762,-0.1910622031655594,-0.1692287859873108,-0.8636790983317113,-0.6726168951661519,-0.6610717354334351,-0.7174731920541626,-0.7860960920460557,-0.8636790983317113
2019-01-15,114.17,130.05,113.94,126.95,546420.40854,126.95,0.1061923349821066,0.09936647749342571,1.0000000000000004,0.9456512985477585,0.13525856525825075,0.09569946165439498,-0.025095897487780384,-0.07193148372324973,-0.07958194424937377,-0.15151342797262352,-0.1766093254604039,-0.08090986380600891,0.05434870145224184,1.0000000000000004,1.0809098638060093,1.1766093254604042,1.1515134279726238,1.0795819442493741,1.0000000000000004
2019-01-16,126.95,129.4,116.0,118.95,649020.5297,118.95,-0.06509007140172081,-0.06509007140172081,-0.733649510794168,-0.710026590821613,0.03607296739430169,0.09433827966480308,0.0024014058699467285,-0.07530102692273104,-0.0811345459788754,-0.15643557290160642,-0.1540341670316597,-0.05969588736685662,-0.023622919972554925,-0.733649510794168,-0.6739536234273114,-0.5796153437625082,-0.5772139378925615,-0.6525149648152925,-0.7336495107941678
