date,open,high,low,close,volume,original_close,date_ordinal,processed_close,processed_log_return,outliers_processed_log_return,normalized_outliers_processed_log_return,processed_log_return_wtmra_0,processed_log_return_wtmra_1,processed_log_return_wtmra_2,processed_log_return_wtmra_3,processed_log_return_wtmra_4,processed_log_return_wtmra_5,processed_log_return_wtmra_5_4,processed_log_return_wtmra_5_4_3,processed_log_return_wtmra_5_4_3_2,processed_log_return_wtmra_5_4_3_2_1,processed_log_return_wtmra_5_4_3_2_1_0,processed_log_return_wtmra_0_1,processed_log_return_wtmra_0_1_2,processed_log_return_wtmra_0_1_2_3,processed_log_return_wtmra_0_1_2_3_4,processed_log_return_wtmra_0_1_2_3_4_5
2018-12-31 00:00:00,137.09,138.42,136.38,137.77,24848.72881,137.77,1546214400.0,137.77,0.0048750414882390534,0.0048750414882390534,0.22520610961259246,0.16816652328720644,0.19335089938191546,-0.04307374263092035,-0.07185420011055803,0.00012840108279728305,-0.02151177139784831,-0.021383370315051026,-0.09323757042560905,-0.1363113130565294,0.057039586325386055,0.2252061096125925,0.3615174226691219,0.31844368003820156,0.24658947992764352,0.2467178810104408,0.22520610961259246
2018-12-31 01:00:00,137.81,138.66,135.93,136.56,22817.09906,136.56,1546218000.0,136.56,-0.008821549570322556,-0.008821549570322556,-0.40139543575592124,-0.0978541210038282,-0.06299122346220574,-0.1262499968461121,-0.08810450398143858,-0.0037753960401569297,-0.02242019442217956,-0.02619559046233649,-0.11430009444377508,-0.2405500912898872,-0.30354131475209295,-0.4013954357559212,-0.16084534446603393,-0.28709534131214604,-0.37519984529358463,-0.37897524133374155,-0.4013954357559211
2018-12-31 02:00:00,136.56,136.6,133.83,134.96,36918.42692,134.96,1546221600.0,134.96,-0.011785640248472225,-0.011785640248472225,-0.5369987980524108,0.08722560607980662,-0.3330275467819931,-0.16835602445583767,-0.0925829041313097,-0.007041048190366312,-0.023216880572710593,-0.030257928763076904,-0.1228408328943866,-0.29119685735022427,-0.6242244041322174,-0.5369987980524107,-0.24580194070218647,-0.41415796515802417,-0.5067408692893338,-0.5137819174797001,-0.5369987980524107
2018-12-31 03:00:00,134.94,135.64,132.01,132.53,30887.85225,132.53,1546225200.0,132.53,-0.01816940334512555,-0.01816940334512555,-0.8290478053219278,-0.3632372555498557,-0.2063985579650171,-0.14372875719837896,-0.08278434398576599,-0.009055161652212582,-0.023843728970697246,-0.03289889062290983,-0.11568323460867583,-0.25941199180705476,-0.46581054977207187,-0.8290478053219276,-0.5696358135148728,-0.7133645707132518,-0.7961489146990177,-0.8052040763512303,-0.8290478053219275
2018-12-31 04:00:00,132.55,134.38,132.2,133.6,31911.9172,133.6,1546228800.0,133.6,0.008041226209957963,0.008041226209957963,0.3700550162543007,0.35426012145114144,0.15233724292264916,-0.04101903871585083,-0.06119863509044454,-0.009980558349337462,-0.024344115963857174,-0.034324674313194636,-0.09552330940363918,-0.13654234811949,0.015794894803159154,0.3700550162543006,0.5065973643737907,0.46557832565793983,0.4043796905674953,0.3943991322181578,0.37005501625430065
2018-12-31 05:00:00,133.6,134.65,133.47,134.22,12293.56795,134.22,1546232400.0,134.22,0.004629983627547928,0.004629983627547928,0.2139950255145697,0.0058674358857942034,0.2236579107799464,0.05586388089326537,-0.035222495406318895,-0.011381599304534697,-0.02479010733358267,-0.03617170663811737,-0.07139420204443626,-0.015530321151170895,0.2081275896287755,0.2139950255145697,0.2295253466657406,0.285389227559006,0.2501667321526871,0.2387851328481524,0.21399502551456973
2018-12-31 06:00:00,134.21,134.21,133.01,133.96,10934.7053,133.96,1546236000.0,133.96,-0.0019389968040893265,-0.0019389968040893265,-0.08652743824012306,-0.21087286156266538,0.06337102513204122,0.1071231089871785,-0.0074508087019595414,-0.01355723316721114,-0.02514066892750672,-0.03869790209471786,-0.0461487107966774,0.0609743981905011,0.12434542332254232,-0.08652743824012306,-0.14750183643062414,-0.040378727443445644,-0.04782953614540519,-0.06138676931261633,-0.08652743824012304
2018-12-31 07:00:00,133.92,134.79,133.52,134.78,9178.77234,134.78,1546239600.0,134.78,0.006102571592066979,0.006102571592066979,0.2813640438574167,0.22449267191603756,-0.03516649263811306,0.11120563785777095,0.022072296233683505,-0.01586349300116485,-0.025376576510797454,-0.0412400695119623,-0.0191677732782788,0.09203786457949215,0.05687137194137908,0.28136404385741665,0.1893261792779245,0.30053181713569543,0.32260411336937894,0.3067406203682141,0.28136404385741665
2018-12-31 08:00:00,134.76,134.8,134.0,134.34,8190.38404,134.34,1546243200.0,134.34,-0.0032699196793524884,-0.0032699196793524884,-0.14741545970769132,-0.12475711234300497,-0.07754819141097696,0.04767230223828075,0.05061077897197871,-0.017870596050883012,-0.02552264111308581,-0.043393237163968826,0.007217541808009882,0.05488984404629063,-0.022658347364686332,-0.14741545970769132,-0.20230530375398192,-0.15463300151570117,-0.10402222254372245,-0.12189281859460546,-0.14741545970769127
2018-12-31 09:00:00,134.35,134.44,133.7,134.11,7020.66552,134.11,1546246800.0,134.11,-0.0017135411158696432,-0.0017135411158696432,-0.07621312849351876,-0.06510074048277967,-0.027942486192983243,-0.014124898442399498,0.07569569494045504,-0.019221796650061622,-0.02551890166574978,-0.0447406983158114,0.03095499662464364,0.016830098182244145,-0.011112388010739098,-0.07621312849351877,-0.09304322667576291,-0.10716812511816241,-0.03147243017770737,-0.050694226827768994,-0.07621312849351877
