CCY,scenario,type,R2,MAPE,MAE,RMSE
ETHUSDT_1h,TDA,univariate,0.008659184,174.48837,0.21029629,0.27153465
ETHUSDT_1h,TDA,multivariate,-0.4434514,180.64505,0.22619453,0.32765353
