CCY,scenario,type,R2,MAPE,MAE,RMSE
ETHUSDT_1h,embedding,univariate,0.008659184,174.48837,0.21029629,0.27153465
ETHUSDT_1h,embedding,multivariate,0.12930131,200.40135,0.20858258,0.25447652
