CCY,scenario,type,R2,MAPE,MAE,RMSE
ETHUSDT_1h,lagged,univariate,0.008659184,174.48837,0.21029629,0.27153465
ETHUSDT_1h,lagged,multivariate,-0.019955277,221.4948,0.20868117,0.2754256
