CCY,scenario,type,R2,MAPE,MAE,RMSE
ETHUSDT_1h,datetime,univariate,0.008659184,174.48837,0.21029629,0.27153465
ETHUSDT_1h,datetime,multivariate,-0.69756603,390.11072,0.29601425,0.35532612
