CCY,scenario,type,R2,MAPE,MAE,RMSE
ETHUSDT_1h,temporal-decomposition,univariate,0.008659184,174.48837,0.21029629,0.27153465
ETHUSDT_1h,temporal-decomposition,multivariate,-0.46039546,209.76308,0.2547398,0.329571
